Y (ang)	Ec (eV)	Ev (eV)	E (V/cm)	Ef (eV)	n (cm-3)	p (cm-3)	Nd - Na (cm-3)
 7.200000e+02	 1.44493431e+00	 3.20415082e-01	-1.19272238e+02	 5.00000000e-01	 3.7844e+03	 9.8253e+15	-1.0000e+16
 7.300000e+02	 1.44492239e+00	 3.20403155e-01	-1.21997802e+02	 5.00000000e-01	 3.7862e+03	 9.8208e+15	-1.0000e+16
 7.400000e+02	 1.44491019e+00	 3.20390955e-01	-1.24793822e+02	 5.00000000e-01	 3.7880e+03	 9.8161e+15	-1.0000e+16
 7.500000e+02	 1.44489771e+00	 3.20378475e-01	-1.27661877e+02	 5.00000000e-01	 3.7898e+03	 9.8114e+15	-1.0000e+16
 7.600000e+02	 1.44488494e+00	 3.20365709e-01	-1.30603589e+02	 5.00000000e-01	 3.7917e+03	 9.8065e+15	-1.0000e+16
 7.700000e+02	 1.44487188e+00	 3.20352649e-01	-1.33620616e+02	 5.00000000e-01	 3.7936e+03	 9.8016e+15	-1.0000e+16
 7.800000e+02	 1.44485852e+00	 3.20339287e-01	-1.36714658e+02	 5.00000000e-01	 3.7955e+03	 9.7965e+15	-1.0000e+16
 7.900000e+02	 1.44484485e+00	 3.20325615e-01	-1.39887459e+02	 5.00000000e-01	 3.7975e+03	 9.7913e+15	-1.0000e+16
 8.000000e+02	 1.44483086e+00	 3.20311627e-01	-1.43140802e+02	 5.00000000e-01	 3.7996e+03	 9.7860e+15	-1.0000e+16
 8.100000e+02	 1.44481654e+00	 3.20297312e-01	-1.46476516e+02	 5.00000000e-01	 3.8017e+03	 9.7806e+15	-1.0000e+16
 8.200000e+02	 1.44480190e+00	 3.20282665e-01	-1.49896473e+02	 5.00000000e-01	 3.8039e+03	 9.7751e+15	-1.0000e+16
 8.300000e+02	 1.44478691e+00	 3.20267675e-01	-1.53402590e+02	 5.00000000e-01	 3.8061e+03	 9.7694e+15	-1.0000e+16
 8.400000e+02	 1.44477157e+00	 3.20252335e-01	-1.56996832e+02	 5.00000000e-01	 3.8083e+03	 9.7636e+15	-1.0000e+16
 8.500000e+02	 1.44475587e+00	 3.20236635e-01	-1.60681208e+02	 5.00000000e-01	 3.8106e+03	 9.7577e+15	-1.0000e+16
 8.600000e+02	 1.44473980e+00	 3.20220567e-01	-1.64457777e+02	 5.00000000e-01	 3.8130e+03	 9.7516e+15	-1.0000e+16
 8.700000e+02	 1.44472335e+00	 3.20204121e-01	-1.68328648e+02	 5.00000000e-01	 3.8154e+03	 9.7454e+15	-1.0000e+16
 8.800000e+02	 1.44470652e+00	 3.20187288e-01	-1.72295977e+02	 5.00000000e-01	 3.8179e+03	 9.7391e+15	-1.0000e+16
 8.900000e+02	 1.44468929e+00	 3.20170059e-01	-1.76361973e+02	 5.00000000e-01	 3.8205e+03	 9.7326e+15	-1.0000e+16
 9.000000e+02	 1.44467165e+00	 3.20152423e-01	-1.80528896e+02	 5.00000000e-01	 3.8231e+03	 9.7260e+15	-1.0000e+16
 9.100000e+02	 1.44465360e+00	 3.20134370e-01	-1.84799059e+02	 5.00000000e-01	 3.8257e+03	 9.7192e+15	-1.0000e+16
 9.200000e+02	 1.44463512e+00	 3.20115890e-01	-1.89174831e+02	 5.00000000e-01	 3.8285e+03	 9.7122e+15	-1.0000e+16
 9.300000e+02	 1.44461620e+00	 3.20096972e-01	-1.93658632e+02	 5.00000000e-01	 3.8313e+03	 9.7051e+15	-1.0000e+16
 9.400000e+02	 1.44459684e+00	 3.20077606e-01	-1.98252943e+02	 5.00000000e-01	 3.8341e+03	 9.6979e+15	-1.0000e+16
 9.500000e+02	 1.44457701e+00	 3.20057781e-01	-2.02960298e+02	 5.00000000e-01	 3.8371e+03	 9.6904e+15	-1.0000e+16
 9.600000e+02	 1.44455672e+00	 3.20037485e-01	-2.07783293e+02	 5.00000000e-01	 3.8401e+03	 9.6828e+15	-1.0000e+16
 9.700000e+02	 1.44453594e+00	 3.20016707e-01	-2.12724581e+02	 5.00000000e-01	 3.8432e+03	 9.6750e+15	-1.0000e+16
 9.800000e+02	 1.44451467e+00	 3.19995434e-01	-2.17786877e+02	 5.00000000e-01	 3.8464e+03	 9.6671e+15	-1.0000e+16
 9.900000e+02	 1.44449289e+00	 3.19973656e-01	-2.22972958e+02	 5.00000000e-01	 3.8496e+03	 9.6589e+15	-1.0000e+16
 1.000000e+03	 1.44447059e+00	 3.19951358e-01	-2.28285663e+02	 5.00000000e-01	 3.8529e+03	 9.6506e+15	-1.0000e+16
 1.010000e+03	 1.44444776e+00	 3.19928530e-01	-2.33727896e+02	 5.00000000e-01	 3.8563e+03	 9.6421e+15	-1.0000e+16
 1.020000e+03	 1.44442439e+00	 3.19905157e-01	-2.39302626e+02	 5.00000000e-01	 3.8598e+03	 9.6334e+15	-1.0000e+16
 1.030000e+03	 1.44440046e+00	 3.19881227e-01	-2.45012891e+02	 5.00000000e-01	 3.8634e+03	 9.6245e+15	-1.0000e+16
 1.040000e+03	 1.44437596e+00	 3.19856725e-01	-2.50861793e+02	 5.00000000e-01	 3.8670e+03	 9.6154e+15	-1.0000e+16
 1.050000e+03	 1.44435087e+00	 3.19831639e-01	-2.56852507e+02	 5.00000000e-01	 3.8708e+03	 9.6060e+15	-1.0000e+16
 1.060000e+03	 1.44432518e+00	 3.19805954e-01	-2.62988276e+02	 5.00000000e-01	 3.8747e+03	 9.5965e+15	-1.0000e+16
 1.070000e+03	 1.44429889e+00	 3.19779655e-01	-2.69272417e+02	 5.00000000e-01	 3.8786e+03	 9.5867e+15	-1.0000e+16
 1.080000e+03	 1.44427196e+00	 3.19752728e-01	-2.75708317e+02	 5.00000000e-01	 3.8826e+03	 9.5768e+15	-1.0000e+16
 1.090000e+03	 1.44424439e+00	 3.19725157e-01	-2.82299442e+02	 5.00000000e-01	 3.8868e+03	 9.5665e+15	-1.0000e+16
 1.100000e+03	 1.44421616e+00	 3.19696927e-01	-2.89049330e+02	 5.00000000e-01	 3.8910e+03	 9.5561e+15	-1.0000e+16
 1.110000e+03	 1.44418725e+00	 3.19668022e-01	-2.95961598e+02	 5.00000000e-01	 3.8954e+03	 9.5454e+15	-1.0000e+16
 1.120000e+03	 1.44415766e+00	 3.19638426e-01	-3.03039941e+02	 5.00000000e-01	 3.8998e+03	 9.5345e+15	-1.0000e+16
 1.130000e+03	 1.44412735e+00	 3.19608122e-01	-3.10288134e+02	 5.00000000e-01	 3.9044e+03	 9.5233e+15	-1.0000e+16
 1.140000e+03	 1.44409632e+00	 3.19577093e-01	-3.17710033e+02	 5.00000000e-01	 3.9091e+03	 9.5119e+15	-1.0000e+16
 1.150000e+03	 1.44406455e+00	 3.19545322e-01	-3.25309578e+02	 5.00000000e-01	 3.9139e+03	 9.5002e+15	-1.0000e+16
 1.160000e+03	 1.44403202e+00	 3.19512791e-01	-3.33090791e+02	 5.00000000e-01	 3.9188e+03	 9.4883e+15	-1.0000e+16
 1.170000e+03	 1.44399871e+00	 3.19479482e-01	-3.41057781e+02	 5.00000000e-01	 3.9239e+03	 9.4761e+15	-1.0000e+16
 1.180000e+03	 1.44396461e+00	 3.19445377e-01	-3.49214744e+02	 5.00000000e-01	 3.9291e+03	 9.4636e+15	-1.0000e+16
 1.190000e+03	 1.44392969e+00	 3.19410455e-01	-3.57565964e+02	 5.00000000e-01	 3.9344e+03	 9.4508e+15	-1.0000e+16
 1.200000e+03	 1.44389393e+00	 3.19374698e-01	-3.66115815e+02	 5.00000000e-01	 3.9398e+03	 9.4377e+15	-1.0000e+16
 1.210000e+03	 1.44385732e+00	 3.19338087e-01	-3.74868761e+02	 5.00000000e-01	 3.9454e+03	 9.4244e+15	-1.0000e+16
 1.220000e+03	 1.44381983e+00	 3.19300600e-01	-3.83829361e+02	 5.00000000e-01	 3.9511e+03	 9.4107e+15	-1.0000e+16
 1.230000e+03	 1.44378145e+00	 3.19262217e-01	-3.93002266e+02	 5.00000000e-01	 3.9570e+03	 9.3968e+15	-1.0000e+16
 1.240000e+03	 1.44374215e+00	 3.19222917e-01	-4.02392223e+02	 5.00000000e-01	 3.9630e+03	 9.3825e+15	-1.0000e+16
 1.250000e+03	 1.44370191e+00	 3.19182678e-01	-4.12004078e+02	 5.00000000e-01	 3.9692e+03	 9.3679e+15	-1.0000e+16
 1.260000e+03	 1.44366071e+00	 3.19141477e-01	-4.21842772e+02	 5.00000000e-01	 3.9755e+03	 9.3530e+15	-1.0000e+16
 1.270000e+03	 1.44361852e+00	 3.19099293e-01	-4.31913350e+02	 5.00000000e-01	 3.9820e+03	 9.3377e+15	-1.0000e+16
 1.280000e+03	 1.44357533e+00	 3.19056102e-01	-4.42220953e+02	 5.00000000e-01	 3.9887e+03	 9.3221e+15	-1.0000e+16
 1.290000e+03	 1.44353111e+00	 3.19011879e-01	-4.52770830e+02	 5.00000000e-01	 3.9955e+03	 9.3062e+15	-1.0000e+16
 1.300000e+03	 1.44348583e+00	 3.18966602e-01	-4.63568331e+02	 5.00000000e-01	 4.0025e+03	 9.2899e+15	-1.0000e+16
 1.310000e+03	 1.44343948e+00	 3.18920246e-01	-4.74618912e+02	 5.00000000e-01	 4.0097e+03	 9.2733e+15	-1.0000e+16
 1.320000e+03	 1.44339201e+00	 3.18872784e-01	-4.85928137e+02	 5.00000000e-01	 4.0171e+03	 9.2563e+15	-1.0000e+16
 1.330000e+03	 1.44334342e+00	 3.18824191e-01	-4.97501677e+02	 5.00000000e-01	 4.0246e+03	 9.2389e+15	-1.0000e+16
 1.340000e+03	 1.44329367e+00	 3.18774441e-01	-5.09345313e+02	 5.00000000e-01	 4.0324e+03	 9.2211e+15	-1.0000e+16
 1.350000e+03	 1.44324274e+00	 3.18723506e-01	-5.21464937e+02	 5.00000000e-01	 4.0403e+03	 9.2030e+15	-1.0000e+16
 1.360000e+03	 1.44319059e+00	 3.18671360e-01	-5.33866553e+02	 5.00000000e-01	 4.0485e+03	 9.1844e+15	-1.0000e+16
 1.370000e+03	 1.44313720e+00	 3.18617973e-01	-5.46556280e+02	 5.00000000e-01	 4.0569e+03	 9.1655e+15	-1.0000e+16
 1.380000e+03	 1.44308255e+00	 3.18563317e-01	-5.59540349e+02	 5.00000000e-01	 4.0654e+03	 9.1461e+15	-1.0000e+16
