Index,SMU-1 Time (s),SMU-1 Voltage (V),SMU-1 Current (A)
105,54.48124,4.77198362350464,0.0386109128594398
106,54.997946,4.81770992279053,0.0407761596143246
107,55.514652,4.86386299133301,0.0430441983044147
108,56.031358,4.90966558456421,0.0453915260732174
109,56.548064,4.9554443359375,0.0478361733257771
110,57.06477,5.00126361846924,0.0503894090652466
111,57.581477,5.0471305847168,0.0530583634972572
112,58.098183,5.09331226348877,0.0558738112449646
113,58.614889,5.13911485671997,0.0588083639740944
114,59.131595,5.18495321273804,0.0618950016796589
115,59.648301,5.23071765899658,0.0651408955454826
116,60.165007,5.27647972106934,0.0685679540038109
117,60.681713,5.32263040542603,0.0722207948565483
118,61.198419,5.36845684051514,0.0760744139552116
119,61.715125,5.41425466537476,0.0801738724112511
120,62.23183,5.46004295349121,0.0845478102564812
121,62.748536,5.50588607788086,0.0892330184578896
122,63.265242,5.46002864837646,0.0855358988046646
123,63.781948,5.41419744491577,0.0817756652832031
124,64.298654,5.36841869354248,0.0780430361628532
125,64.815361,5.32254934310913,0.074377715587616
126,65.332067,5.27643918991089,0.0707962736487389
127,65.848774,5.23061275482178,0.0673520714044571
128,66.36548,5.18481016159058,0.0640363246202469
129,66.882186,5.13899326324463,0.0608559735119343
130,67.398892,5.09320735931396,0.0578059926629066
131,67.915598,5.04703760147095,0.0548655763268471
132,68.432304,5.00123262405396,0.0520723573863506
133,68.94901,4.95537281036377,0.0493969321250916
134,69.465716,4.90963697433472,0.0468334816396236
135,69.982422,4.86384868621826,0.0443735495209694
136,70.499128,4.81766700744629,0.0419956818223
137,71.015834,4.77182626724243,0.0397296659648418
138,71.53254,4.72609281539917,0.0375517271459103
139,72.049246,4.68024969100952,0.0354458577930927
140,72.565952,4.63442325592041,0.0334100238978863
141,73.082658,4.58831071853638,0.0314597748219967
142,73.599364,4.54249143600464,0.0296035055071115
143,74.116071,4.49666976928711,0.0278270971029997
144,74.632777,4.45082187652588,0.0261287689208984
145,75.149483,4.40498113632202,0.0245031006634235
146,75.666189,4.35918092727661,0.0229516867548227
147,76.182895,4.31305408477783,0.0214591864496469
148,76.699601,4.26724672317505,0.0200455542653799
149,77.216307,4.22143220901489,0.0186974052339792
150,77.733013,4.17560577392578,0.0174132473766804
151,78.249719,4.12979602813721,0.0161909107118845
152,78.766425,4.08366918563843,0.0150217777118087
153,79.283131,4.03790473937988,0.013918804936111
154,79.799837,3.992018699646,0.0128697631880641
155,80.316543,3.94619464874268,0.0118737695738673
156,80.833249,3.9003849029541,0.0109290601685643
157,81.349954,3.85423183441162,0.0100237969309092
158,81.883743,3.80839109420776,0.00916983745992184
159,82.40045,3.76253843307495,0.00835523847490549
160,82.917157,3.71673822402954,0.00757924420759082
161,83.433863,3.67088556289673,0.00683887209743261
162,83.950569,3.62507581710815,0.00613385066390038
163,84.467275,3.57902526855469,0.00545885553583503
164,84.983981,3.53322982788086,0.00482055777683854
165,85.500686,3.48737478256226,0.00421449402347207
166,86.017392,3.44158411026001,0.0036418866366148
167,86.534098,3.39570045471191,0.00310191139578819
168,87.050804,3.34960699081421,0.00259323115460575
169,87.567511,3.30376148223877,0.00212387554347515
170,88.084217,3.25793266296387,0.00169202801771462
171,88.600923,3.21214914321899,0.00130045169498771
172,89.13471,3.16627740859985,0.000951727095525712
173,89.651417,3.12016725540161,0.000651841051876545
174,90.168123,3.07427644729614,0.000410579348681495
