Y (ang)	Ec (eV)	Ev (eV)	E (V/cm)	Ef (eV)	n (cm-3)	p (cm-3)	Nd - Na (cm-3)
 2.090000e+02	 5.72130598e-03	-3.38727869e+00	 1.20534022e+05	 0.00000000e+00	 1.4380e+18	 4.0688e-38	 1.0000e+15
 2.100000e+02	 6.92664620e-03	-3.38607335e+00	 1.17899639e+05	 0.00000000e+00	 1.3841e+18	 4.2630e-38	 1.0000e+15
 2.110000e+02	 8.10564259e-03	-3.38489436e+00	 1.15362659e+05	 0.00000000e+00	 1.3329e+18	 4.4619e-38	 1.0000e+15
 2.120000e+02	 9.25926918e-03	-3.38374073e+00	 1.12918082e+05	 0.00000000e+00	 1.2844e+18	 4.6656e-38	 1.0000e+15
 2.130000e+02	 1.03884500e-02	-3.38261155e+00	 1.10561214e+05	 0.00000000e+00	 1.2384e+18	 4.8739e-38	 1.0000e+15
 2.140000e+02	 1.14940621e-02	-3.38150594e+00	 1.08287655e+05	 0.00000000e+00	 1.1946e+18	 5.0868e-38	 1.0000e+15
 2.150000e+02	 1.25769387e-02	-3.38042306e+00	 1.06093272e+05	 0.00000000e+00	 1.1531e+18	 5.3044e-38	 1.0000e+15
 2.160000e+02	 1.36378714e-02	-3.37936213e+00	 1.03974179e+05	 0.00000000e+00	 1.1135e+18	 5.5266e-38	 1.0000e+15
 2.170000e+02	 1.46776132e-02	-3.37832239e+00	 1.01926729e+05	 0.00000000e+00	 1.0759e+18	 5.7534e-38	 1.0000e+15
 2.180000e+02	 1.56968805e-02	-3.37730312e+00	 9.99474865e+04	 0.00000000e+00	 1.0401e+18	 5.9848e-38	 1.0000e+15
 2.190000e+02	 1.66963554e-02	-3.37630364e+00	 9.80332206e+04	 0.00000000e+00	 1.0060e+18	 6.2207e-38	 1.0000e+15
 2.200000e+02	 1.76766876e-02	-3.37532331e+00	 9.61808882e+04	 0.00000000e+00	 9.7348e+17	 6.4612e-38	 1.0000e+15
 2.210000e+02	 1.86384965e-02	-3.37436150e+00	 9.43876218e+04	 0.00000000e+00	 9.4247e+17	 6.7061e-38	 1.0000e+15
 2.220000e+02	 1.95823727e-02	-3.37341763e+00	 9.26507179e+04	 0.00000000e+00	 9.1288e+17	 6.9554e-38	 1.0000e+15
