[0, 0, 0]
Base Voltage_1 (1)	Base Current_1 (1)	Collector Voltage_2 (1)	Collector Current_2 (1)
+7.665961E-01	+4.123793E-03	+8.166982E-01	+8.778451E-03
+7.699472E-01	+4.385689E-03	+8.200528E-01	+9.397075E-03
+7.733065E-01	+4.663834E-03	+8.234094E-01	+1.004711E-02
+7.765933E-01	+4.944416E-03	+8.267096E-01	+1.069000E-02
+7.799495E-01	+5.256922E-03	+8.300285E-01	+1.140966E-02
+7.833110E-01	+5.588123E-03	+8.333820E-01	+1.215288E-02
+7.865955E-01	+5.929057E-03	+8.367044E-01	+1.290749E-02
+7.899544E-01	+6.295820E-03	+8.400624E-01	+1.370697E-02
+7.933131E-01	+6.682589E-03	+8.433850E-01	+1.453582E-02
+7.965953E-01	+7.081465E-03	+8.467056E-01	+1.537605E-02
+7.999600E-01	+7.510345E-03	+8.500628E-01	+1.626318E-02

