[0, 0, 0]
Base_Voltage_1 (1)	Base_Current_1 (1)	Collector_Voltage_2 (1)	Collector_Current_2 (1)	beta
0.563457	8.763948e-008	2.999171	1.515137e-005	172.88292901784
0.567419	1.017565e-007	2.999165	1.768854e-005	173.83204021365
0.571361	1.181244e-007	2.999171	2.06437e-005	174.76236916336
0.575331	1.372113e-007	2.999187	2.410464e-005	175.6753270321
0.579276	1.592302e-007	2.999191	2.811768e-005	176.5850950385
0.583238	1.847733e-007	2.999198	3.2797e-005	177.49858881126
0.587225	2.145144e-007	2.999215	3.826714e-005	178.38960927565
0.591231	2.491151e-007	2.999188	4.46692e-005	179.31149095338
0.595233	2.89196e-007	2.999232	5.211904e-005	180.22047331222
0.599221	3.356881e-007	2.999243	6.079735e-005	181.11261614576
0.603225	3.897366e-007	2.999255	7.092181e-005	181.97369710723
0.607204	4.52425e-007	2.999274	8.271678e-005	182.82981709676
0.611163	5.252373e-007	2.999311	9.647106e-005	183.671380536
0.613963	6.096651e-007	2.999177	0.000113	185.34766054347
0.619	7.078285e-007	2.999156	0.000131	185.07307914276
0.62292	8.216654e-007	2.999175	0.000153	186.20718360539
0.626828	9.538052e-007	2.999187	0.000178	186.62091588513
0.630783	1.106688e-006	2.999133	0.000208	187.94818413139
0.634728	1.284863e-006	2.999186	0.000242	188.34692881654
0.638673	1.491348e-006	2.999193	0.000282	189.09067501348
0.642637	1.730894e-006	2.99922	0.000329	190.07518657988
0.646602	2.009076e-006	2.999188	0.000384	191.13264007932
0.650571	2.332947e-006	2.999297	0.000447	191.60315257912
0.65455	2.709025e-006	2.999169	0.000521	192.32011517059
0.658503	3.14411e-006	2.999242	0.000607	193.05940313793
0.662447	3.649984e-006	2.999211	0.000706	193.42550542687
0.666379	4.238255e-006	2.99932	0.000823	194.18369116535
0.670281	4.918856e-006	2.999344	0.000958	194.76073298344
0.673442	5.710709e-006	2.999188	0.001115	195.24721010999
0.678031	6.62943e-006	2.999145	0.001297	195.64276265079
0.681911	7.694727e-006	2.999124	0.001509	196.10832197166
0.685801	8.933047e-006	2.999154	0.001755	196.46152091218
0.68971	1.037006e-005	2.999224	0.002041	196.81660472553
0.693681	1.203227e-005	2.999162	0.002372	197.13653367153
0.697602	1.396947e-005	2.999177	0.002757	197.35895492098
0.701507	1.621707e-005	2.999242	0.003203	197.50793454058
0.705399	1.881697e-005	2.999257	0.003717	197.53445958621
0.709288	2.184613e-005	2.999274	0.004315	197.51782123424
0.713173	2.53681e-005	2.999304	0.005008	197.41328676566
0.717029	2.945485e-005	2.999336	0.005808	197.18314640883
0.720879	3.418176e-005	2.999342	0.006728	196.83012226404
0.724727	3.969009e-005	2.999414	0.007795	196.39663200562
0.728557	4.60721e-005	2.999545	0.009021	195.80179761721
0.732363	5.348999e-005	2.999192	0.010446	195.28887554475
0.735865	6.20841e-005	2.999215	0.012065	194.33317065078
0.739731	7.208093e-005	2.999208	0.013927	193.21337835125
0.743563	8.367754e-005	2.999243	0.016059	191.91529770115
0.747376	9.713352e-005	2.999269	0.018497	190.42859766639
0.751159	0.000113	2.999274	0.021267	188.20353982301
0.754972	0.000131	2.999347	0.024438	186.54961832061
0.758724	0.000152	2.999352	0.028027	184.38815789474
0.762469	0.000176	2.999397	0.032084	182.29545454545
0.766209	0.000205	2.999425	0.036644	178.7512195122
0.769997	0.000238	2.999441	0.041735	175.35714285714
0.773729	0.000276	2.999447	0.04731	171.41304347826
0.777557	0.00032	2.999409	0.053034	165.73125
0.781365	0.000372	2.999313	0.058134	156.27419354839
0.785212	0.000432	2.999303	0.062531	144.74768518519
0.789043	0.000501	2.9993	0.066586	132.90618762475
0.793117	0.000582	2.999295	0.07053	121.18556701031
0.797327	0.000675	2.999303	0.074477	110.3362962963
0.801694	0.000784	2.999321	0.078505	100.13392857143
0.806163	0.00091	2.999331	0.082676	90.852747252747
0.810924	0.001055	2.999305	0.08703	82.492890995261
0.815952	0.001225	2.999315	0.091677	74.838367346939
0.821229	0.001423	2.999326	0.096616	67.895994378074
0.826736	0.001651	2.999341	0.101906	61.7238037553
0.834114	0.001917	2.99903	0.107534	56.094940010433
0.838624	0.002225	2.99903	0.113685	51.094382022472
0.845331	0.002584	2.999023	0.120384	46.588235294118
0.852557	0.002999	2.999024	0.127653	42.565188396132

