[0, 0, 0]
V_CE_1 (1)	I_C_1 (1)	V_BE_2 (1)	I_B_2 (1)	V_CE_1 (2)	I_C_1 (2)	V_BE_2 (2)	I_B_2 (2)	V_CE_1 (3)	I_C_1 (3)	V_BE_2 (3)	I_B_2 (3)	V_CE_1 (4)	I_C_1 (4)	V_BE_2 (4)	I_B_2 (4)	V_CE_1 (5)	I_C_1 (5)	V_BE_2 (5)	I_B_2 (5)
+2.101347E+00	+9.205303E-06	+5.505903E-01	-1.286953E-07	+2.098913E+00	+6.135040E-02	+7.976809E-01	+5.000993E-04	+2.100283E+00	+7.924120E-02	+8.113759E-01	+1.000105E-03	+2.099069E+00	+9.207547E-02	+8.192741E-01	+1.499799E-03	+2.099562E+00	+1.029462E-01	+8.248240E-01	+2.000361E-03
+2.150861E+00	+1.031922E-05	+5.508692E-01	-3.294355E-07	+2.149782E+00	+6.180773E-02	+7.972537E-01	+5.001961E-04	+2.149232E+00	+7.973841E-02	+8.108411E-01	+1.000628E-03	+2.149232E+00	+9.256845E-02	+8.188809E-01	+1.500308E-03	+2.150054E+00	+1.034232E-01	+8.247733E-01	+2.001048E-03
+2.202158E+00	+1.005502E-05	+5.525340E-01	+2.225861E-07	+2.199568E+00	+6.226186E-02	+7.967448E-01	+5.005367E-04	+2.199606E+00	+8.022610E-02	+8.104036E-01	+1.000019E-03	+2.199282E+00	+9.306078E-02	+8.184510E-01	+1.499950E-03	+2.199770E+00	+1.038997E-01	+8.242166E-01	+2.000589E-03
+2.247369E+00	+8.007942E-06	+5.510193E-01	-5.803831E-07	+2.249019E+00	+6.269694E-02	+7.965510E-01	+5.001961E-04	+2.249232E+00	+8.071197E-02	+8.100150E-01	+1.000098E-03	+2.249422E+00	+9.353285E-02	+8.181875E-01	+1.500082E-03	+2.249640E+00	+1.043634E-01	+8.239459E-01	+2.001012E-03
+2.300634E+00	+8.236032E-06	+5.516987E-01	-9.315913E-07	+2.299206E+00	+6.312887E-02	+7.959370E-01	+5.005151E-04	+2.299441E+00	+8.118173E-02	+8.096107E-01	+1.000270E-03	+2.299475E+00	+9.400050E-02	+8.176635E-01	+1.501221E-03	+2.299626E+00	+1.048232E-01	+8.231816E-01	+2.000439E-03
+2.349023E+00	+1.008359E-05	+5.519650E-01	+8.750540E-07	+2.349426E+00	+6.356120E-02	+7.955040E-01	+5.004076E-04	+2.349443E+00	+8.165242E-02	+8.091356E-01	+1.000277E-03	+2.349846E+00	+9.447339E-02	+8.172134E-01	+1.500490E-03	+2.349476E+00	+1.050325E-01	+8.224982E-01	+2.000410E-03
+2.401313E+00	+1.042616E-05	+5.511369E-01	+1.427022E-06	+2.399209E+00	+6.397398E-02	+7.948003E-01	+4.997231E-04	+2.399192E+00	+8.209867E-02	+8.083758E-01	+9.995176E-04	+2.399479E+00	+9.491921E-02	+8.165011E-01	+1.500133E-03	+2.399462E+00	+1.056864E-01	+8.219619E-01	+2.000805E-03
+2.448202E+00	+8.206795E-06	+5.510433E-01	-1.032062E-06	+2.449329E+00	+6.438465E-02	+7.947009E-01	+5.003574E-04	+2.450481E+00	+8.256768E-02	+8.080779E-01	+1.000800E-03	+2.450056E+00	+9.537096E-02	+8.162148E-01	+1.500347E-03	+2.449083E+00	+1.059939E-01	+8.213177E-01	+2.000375E-03
+2.503103E+00	+8.510652E-06	+5.512655E-01	+1.176077E-06	+2.499111E+00	+6.478734E-02	+7.940803E-01	+5.003715E-04	+2.501075E+00	+8.300506E-02	+8.075257E-01	+1.000148E-03	+2.500493E+00	+9.580164E-02	+8.154563E-01	+1.500540E-03	+2.498388E+00	+1.062373E-01	+8.206184E-01	+1.999608E-03
+2.547371E+00	+9.785624E-06	+5.519192E-01	-8.312658E-07	+2.548590E+00	+6.518046E-02	+7.931473E-01	+4.998629E-04	+2.549552E+00	+8.343387E-02	+8.066778E-01	+9.991523E-04	+2.550240E+00	+9.623348E-02	+8.147803E-01	+1.500143E-03	+2.550138E+00	+1.069522E-01	+8.199583E-01	+1.999214E-03
