Optical Power Monitor 4.0.4100.700

Power Meter;PM100USB
Power Meter SN;P2008717
Sensor;S120VC
Sensor SN;17072805
Sensor Type;Photodiode
Wavelength;518 nm
Range;Auto

Start of Measurement;10/29/2024 19:52:46
Elapsed Time;00:02:04:999
Samples;36237

--Statistics--
Minimum [W];6,414E-08
Maximum [W];0,007128
Mean [W];0,00048687
Standard Deviation [W];0,0013986
Ratio;111131,899 : 1

--Graph Data--
Time (ms);Power (W)
2932,987;2,2942E-07
2936,020;2,1651E-07
2939,012;2,0888E-07
2942,036;2,1579E-07
2945,014;2,2851E-07
2948,021;2,327E-07
2951,097;2,2349E-07
2954,102;2,1107E-07
2957,179;2,0979E-07
2960,080;2,207E-07
2963,063;2,3214E-07
2965,951;2,2972E-07
2968,647;2,1911E-07
2971,356;2,0903E-07
2974,356;2,1103E-07
2977,362;2,2342E-07
2980,324;2,3259E-07
2982,950;2,2851E-07
2985,660;2,1749E-07
2988,323;2,0869E-07
2990,942;2,1111E-07
2993,674;2,2179E-07
2996,319;2,3195E-07
2998,962;2,3081E-07
3002,033;2,1904E-07
3005,019;2,0865E-07
3007,969;2,1239E-07
3010,982;2,2481E-07
3013,632;2,3251E-07
3016,425;2,2863E-07
3020,853;2,1594E-07
3024,572;2,0956E-07
3027,350;2,2326E-07
3030,363;2,3236E-07
3033,382;2,2708E-07
3036,356;2,1428E-07
3039,285;2,0813E-07
3042,013;2,1485E-07
3045,093;2,2806E-07
3048,070;2,3225E-07
3051,178;2,2315E-07
3054,098;2,1066E-07
3056,980;2,0933E-07
3059,668;2,1892E-07
3062,359;2,3014E-07
3065,340;2,3112E-07
3068,634;2,2055E-07
3071,618;2,0854E-07
3074,320;2,1081E-07
3076,997;2,2149E-07
3079,602;2,3195E-07
3082,275;2,307E-07
3084,986;2,2043E-07
3087,647;2,0975E-07
3090,260;2,0952E-07
3092,916;2,1892E-07
3095,595;2,301E-07
3098,271;2,3195E-07
3100,911;2,233E-07
3103,579;2,1194E-07
3106,287;2,0843E-07
3108,949;2,1643E-07
3111,657;2,2783E-07
3114,660;2,3248E-07
3117,608;2,2349E-07
3120,268;2,1217E-07
3122,921;2,0881E-07
3125,694;2,1654E-07
3128,695;2,2923E-07
3131,754;2,3214E-07
3134,802;2,2232E-07
3137,972;2,102E-07
3140,951;2,1107E-07
3143,585;2,2202E-07
3146,283;2,3229E-07
3148,924;2,3115E-07
3151,591;2,21E-07
3154,241;2,1032E-07
3156,917;2,099E-07
3159,689;2,1926E-07
3162,606;2,3172E-07
3165,642;2,3131E-07
3168,659;2,1987E-07
3171,603;2,0907E-07
3174,271;2,1141E-07
3176,907;2,2183E-07
3179,581;2,3248E-07
3182,243;2,3138E-07
3184,888;2,2134E-07
3187,569;2,1028E-07
3190,223;2,1005E-07
3192,891;2,1953E-07
3195,567;2,3059E-07
3198,243;2,3259E-07
3200,890;2,2417E-07
3203,581;2,1281E-07
3206,275;2,0918E-07
3208,882;2,1696E-07
3211,571;2,284E-07
3214,246;2,3319E-07
3216,888;2,2678E-07
3219,575;2,1541E-07
3222,241;2,0892E-07
3224,893;2,1398E-07
3227,535;2,2523E-07
3230,244;2,3319E-07
3232,887;2,2953E-07
3235,531;2,187E-07
3238,204;2,0937E-07
3240,891;2,113E-07
3243,535;2,2209E-07
3246,239;2,3259E-07
3248,902;2,3149E-07
3251,533;2,2145E-07
3254,241;2,1058E-07
3256,881;2,1005E-07
3259,575;2,1941E-07
3262,243;2,3055E-07
3264,891;2,3285E-07
3267,527;2,2432E-07
3270,198;2,1281E-07
3272,888;2,0922E-07
3275,529;2,1677E-07
3278,195;2,2825E-07
3280,886;2,3331E-07
3283,546;2,2708E-07
3286,199;2,1545E-07
3288,891;2,0903E-07
3291,517;2,1402E-07
3294,199;2,2527E-07
3296,890;2,3323E-07
3299,525;2,2987E-07
3302,210;2,1885E-07
3304,917;2,0952E-07
3307,528;2,1141E-07
3310,195;2,2206E-07
3312,880;2,3248E-07
3315,528;2,3161E-07
3318,227;2,2164E-07
3320,888;2,1073E-07
3323,525;2,1001E-07
3326,201;2,1926E-07
3328,892;2,3063E-07
3331,527;2,3278E-07
3334,675;2,2428E-07
3337,556;2,1073E-07
3340,194;2,1013E-07
3342,880;2,1922E-07
3345,531;2,3047E-07
3349,272;2,3285E-07
3355,941;2,1881E-07
3359,021;2,1662E-07
3361,908;2,293E-07
3364,536;2,3319E-07
3367,288;2,2564E-07
3370,217;2,1292E-07
3372,862;2,0907E-07
3375,528;2,1666E-07
3378,196;2,2817E-07
3380,910;2,3312E-07
3384,392;2,2704E-07
3387,259;2,1175E-07
3390,287;2,0994E-07
3393,252;2,2062E-07
3396,253;2,3229E-07
3399,248;2,3093E-07
3401,885;2,204E-07
3404,536;2,0998E-07
3407,427;2,1039E-07
3410,215;2,2183E-07
3412,872;2,324E-07
3415,576;2,3153E-07
3418,204;2,2172E-07
3429,757;2,1077E-07
3433,029;2,3089E-07
3435,910;2,1715E-07
3438,906;2,0892E-07
3441,570;2,1349E-07
3444,280;2,2466E-07
3447,373;2,33E-07
3450,259;2,2704E-07
3453,250;2,1409E-07
3456,291;2,0899E-07
3459,250;2,1756E-07
3462,236;2,2991E-07
3464,945;2,3244E-07
3467,958;2,23E-07
3472,570;2,1039E-07
3475,566;2,1586E-07
3478,668;2,287E-07
3481,528;2,321E-07
3484,556;2,227E-07
3489,814;2,1118E-07
3492,509;2,1677E-07
3495,229;2,2832E-07
3497,837;2,3202E-07
3500,505;2,2466E-07
3503,190;2,1326E-07
3505,877;2,0779E-07
3508,623;2,136E-07
3511,554;2,2644E-07
3516,638;2,3172E-07
3519,582;2,1439E-07
3522,553;2,0745E-07
3525,174;2,1334E-07
3527,845;2,2443E-07
3530,513;2,3138E-07
3535,600;2,2693E-07
3538,554;2,0726E-07
3541,523;2,116E-07
3544,207;2,227E-07
3547,199;2,3104E-07
3551,634;2,2666E-07
3554,532;2,0786E-07
3557,177;2,0813E-07
3559,880;2,1805E-07
3562,497;2,2896E-07
3565,167;2,2995E-07
3567,876;2,21E-07
3570,844;2,0971E-07
3573,501;2,0733E-07
3576,172;2,1632E-07
3578,955;2,2787E-07
3582,408;2,2983E-07
3586,183;2,1688E-07
3588,870;2,0669E-07
3591,580;2,1096E-07
3594,544;2,2387E-07
3597,173;2,307E-07
3603,625;2,2632E-07
3606,587;2,0692E-07
3609,502;2,1624E-07
3612,172;2,2745E-07
3614,813;2,3044E-07
3617,502;2,2206E-07
3620,167;2,1054E-07
3622,813;2,0646E-07
3626,113;2,1352E-07
3629,192;2,2855E-07
3631,801;2,2964E-07
3634,617;2,2096E-07
3637,503;2,0839E-07
3640,913;2,0745E-07
3643,876;2,2058E-07
3646,817;2,3081E-07
3649,507;2,2813E-07
3652,150;2,176E-07
3655,170;2,0782E-07
3657,828;2,1039E-07
3660,506;2,216E-07
3663,562;2,3198E-07
3666,535;2,2813E-07
3669,214;2,1749E-07
3672,176;2,0862E-07
3674,818;2,1318E-07
3677,497;2,2447E-07
3680,152;2,3357E-07
3682,815;2,3085E-07
3685,551;2,2047E-07
3688,564;2,1039E-07
3691,518;2,1469E-07
3694,620;2,2776E-07
3697,496;2,3519E-07
3700,157;2,2983E-07
3703,147;2,1711E-07
3705,985;2,1175E-07
3708,839;2,1885E-07
3711,492;2,3044E-07
3714,118;2,3636E-07
3716,944;2,3074E-07
3719,888;2,1798E-07
3722,844;2,1239E-07
3725,516;2,1945E-07
3728,285;2,3081E-07
3731,120;2,3655E-07
3734,381;2,2953E-07
3737,158;2,1549E-07
3739,806;2,1266E-07
3742,563;2,2047E-07
3745,110;2,3198E-07
3747,802;2,3602E-07
3750,570;2,2908E-07
3753,531;2,1602E-07
3756,489;2,1179E-07
3759,114;2,196E-07
3761,790;2,3089E-07
3764,486;2,3516E-07
3767,154;2,2787E-07
3769,767;2,1636E-07
3772,489;2,1024E-07
3775,115;2,1556E-07
3777,799;2,2666E-07
3780,491;2,3402E-07
3783,108;2,2968E-07
3785,790;2,1858E-07
3788,490;2,096E-07
3791,134;2,1235E-07
3793,799;2,2292E-07
3796,493;2,3312E-07
3799,107;2,3195E-07
3801,792;2,2172E-07
3804,491;2,1115E-07
3807,109;2,1122E-07
3809,793;2,2134E-07
3812,483;2,3251E-07
3815,112;2,3444E-07
3817,755;2,2587E-07
3820,488;2,1477E-07
3823,108;2,1175E-07
3825,762;2,1994E-07
3828,415;2,3165E-07
3831,108;2,3595E-07
3833,760;2,293E-07
3836,421;2,1805E-07
3839,109;2,1209E-07
3841,793;2,1722E-07
3844,419;2,2855E-07
3847,093;2,3599E-07
3849,762;2,318E-07
3852,493;2,2073E-07
3855,108;2,1167E-07
3857,748;2,1386E-07
3860,483;2,2443E-07
3863,108;2,3451E-07
3865,852;2,3319E-07
3868,476;2,2262E-07
3871,093;2,1186E-07
3873,840;2,1156E-07
3876,493;2,21E-07
3879,113;2,3198E-07
3881,754;2,3334E-07
3884,417;2,2474E-07
3887,098;2,1311E-07
3889,746;2,0982E-07
3892,417;2,1764E-07
3895,103;2,2896E-07
3897,754;2,3327E-07
3900,414;2,2674E-07
3903,108;2,15E-07
3905,740;2,0888E-07
3908,419;2,1409E-07
3911,109;2,2542E-07
3913,747;2,327E-07
3916,403;2,2896E-07
3919,068;2,1787E-07
3921,745;2,0865E-07
3924,493;2,1092E-07
3927,109;2,2164E-07
3929,780;2,3187E-07
3932,494;2,304E-07
3935,417;2,1892E-07
3938,110;2,0869E-07
3940,744;2,0971E-07
3943,472;2,1972E-07
3946,112;2,307E-07
3948,747;2,3051E-07
3951,405;2,2104E-07
3954,070;2,0986E-07
3956,750;2,0801E-07
3959,496;2,1651E-07
3962,077;2,2791E-07
3964,739;2,3123E-07
3967,391;2,233E-07
3970,150;2,1171E-07
3973,109;2,0696E-07
3975,815;2,1462E-07
3978,763;2,273E-07
3981,437;2,307E-07
3984,489;2,2277E-07
3987,422;2,0892E-07
3990,077;2,0703E-07
3992,960;2,1564E-07
3995,746;2,2791E-07
3998,775;2,2968E-07
4001,476;2,1994E-07
4004,401;2,0748E-07
4007,272;2,0696E-07
4010,141;2,1779E-07
4013,122;2,293E-07
4016,138;2,2734E-07
4022,142;2,1519E-07
4025,087;2,1066E-07
4027,752;2,216E-07
4030,392;2,298E-07
4033,400;2,2583E-07
4036,156;2,133E-07
4039,215;2,0518E-07
4042,087;2,1167E-07
4045,122;2,2459E-07
4048,198;2,2912E-07
4051,539;2,2017E-07
4054,450;2,0639E-07
4057,428;2,0669E-07
4060,076;2,167E-07
4062,754;2,2757E-07
4065,414;2,2802E-07
4068,145;2,1847E-07
4071,119;2,0631E-07
4074,040;2,0643E-07
4076,713;2,1651E-07
4079,384;2,2727E-07
4082,078;2,2779E-07
4084,734;2,1855E-07
4087,442;2,0722E-07
4090,113;2,0499E-07
4093,092;2,1492E-07
4095,703;2,2628E-07
4098,382;2,2806E-07
4101,156;2,1979E-07
4104,041;2,0714E-07
4106,759;2,0499E-07
4109,398;2,1345E-07
4112,091;2,2508E-07
4115,867;2,2817E-07
4118,770;2,1556E-07
4121,517;2,0533E-07
4124,430;2,0669E-07
4127,091;2,1741E-07
4129,725;2,2776E-07
4132,398;2,2696E-07
4135,099;2,1677E-07
4138,119;2,0507E-07
4141,096;2,0677E-07
4144,105;2,1862E-07
4147,119;2,284E-07
4150,171;2,236E-07
4153,103;2,1054E-07
4156,129;2,042E-07
4159,062;2,1175E-07
4161,726;2,2334E-07
4164,380;2,2829E-07
4167,111;2,2217E-07
4170,115;2,0903E-07
4173,021;2,0412E-07
4175,721;2,1175E-07
4178,391;2,2323E-07
4181,025;2,2813E-07
4183,725;2,2183E-07
4186,559;2,1058E-07
4189,467;2,0375E-07
4192,402;2,1145E-07
4195,026;2,2308E-07
4197,702;2,2813E-07
4200,472;2,2183E-07
4203,515;2,0888E-07
4206,514;2,039E-07
4209,396;2,1243E-07
4212,021;2,2417E-07
4214,707;2,2783E-07
4217,452;2,2017E-07
4220,383;2,076E-07
4223,073;2,0378E-07
4225,726;2,1115E-07
4228,383;2,227E-07
4231,026;2,2779E-07
4234,005;2,2145E-07
4237,336;2,0854E-07
4240,154;2,0386E-07
4243,022;2,1345E-07
4245,699;2,2462E-07
4248,335;2,2693E-07
4251,136;2,1866E-07
4254,150;2,0575E-07
4257,040;2,0397E-07
4259,707;2,1318E-07
4262,333;2,244E-07
4265,013;2,2659E-07
4267,758;2,1836E-07
4270,719;2,0571E-07
4273,351;2,0307E-07
4276,038;2,1145E-07
4278,662;2,2311E-07
4281,358;2,2678E-07
4284,080;2,1919E-07
4287,073;2,0669E-07
4290,045;2,0292E-07
4292,671;2,1103E-07
4295,355;2,2285E-07
4298,011;2,2651E-07
4300,796;2,1907E-07
4303,749;2,0624E-07
4306,703;2,0269E-07
4309,337;2,1073E-07
4311,989;2,2236E-07
4314,688;2,2628E-07
4317,407;2,1866E-07
4320,383;2,0586E-07
4323,373;2,0231E-07
4325,987;2,1058E-07
